name,url,influencedByCount,influencedCount
The Apples in Stereo,https://www.allmusic.com/artist/the-apples-in-stereo-mn0000026023,17,7
The Brother Brothers,https://www.allmusic.com/artist/the-brother-brothers-mn0001546056,3,0
The Chameleons,https://www.allmusic.com/artist/the-chameleons-mn0001557918,12,14
The Church,https://www.allmusic.com/artist/the-church-mn0000764181,15,13
The Dream Academy,https://www.allmusic.com/artist/the-dream-academy-mn0000803513,8,1
The Feelies,https://www.allmusic.com/artist/the-feelies-mn0000762177,14,14
The Go-Go's,https://www.allmusic.com/artist/the-go-gos-mn0000766385,13,11
The Guess Who,https://www.allmusic.com/artist/the-guess-who-mn0000061480,10,9
The House of Love,https://www.allmusic.com/artist/the-house-of-love-mn0000080720,17,10
The Idle Race,https://www.allmusic.com/artist/the-idle-race-mn0000081981,1,0
The Iveys,https://www.allmusic.com/artist/the-iveys-mn0000082755,1,0
The Merry-Go-Round,https://www.allmusic.com/artist/the-merry-go-round-mn0000474208,1,0
The Nazz,https://www.allmusic.com/artist/the-nazz-mn0000377892,11,8
The Neon Philharmonic,https://www.allmusic.com/artist/the-neon-philharmonic-mn0000400322,4,0
The Nice,https://www.allmusic.com/artist/the-nice-mn0000481061,5,5
The Posies,https://www.allmusic.com/artist/the-posies-mn0000490554,15,11
The Smithereens,https://www.allmusic.com/artist/the-smithereens-mn0000898479,21,10
The Soft Boys,https://www.allmusic.com/artist/the-soft-boys-mn0000501802,11,14
The Three O'Clock,https://www.allmusic.com/artist/the-three-oclock-mn0000571806,4,0
Timothy Monger,https://www.allmusic.com/artist/timothy-monger-mn0000635997,16,0
Travis,https://www.allmusic.com/artist/travis-mn0000013508,21,4
Utopia,https://www.allmusic.com/artist/utopia-mn0000837486,10,3
World Party,https://www.allmusic.com/artist/world-party-mn0000958768,16,3
Ari Roar,https://www.allmusic.com/artist/ari-roar-mn0003732622,9,0
Cage the Elephant,https://www.allmusic.com/artist/cage-the-elephant-mn0001061166,16,7
Freddie & the Dreamers,https://www.allmusic.com/artist/freddie-the-dreamers-mn0000177558,3,0
George Michael,https://www.allmusic.com/artist/george-michael-mn0000545074,18,22
It's a Beautiful Day,https://www.allmusic.com/artist/its-a-beautiful-day-mn0000109012,1,0
Jackson Browne,https://www.allmusic.com/artist/jackson-browne-mn0000130689,13,19
Kansas,https://www.allmusic.com/artist/kansas-mn0000303626,14,9
Kate Bush,https://www.allmusic.com/artist/kate-bush-mn0000855423,10,35
King Crimson,https://www.allmusic.com/artist/king-crimson-mn0000076057,17,67
Lenny Kravitz,https://www.allmusic.com/artist/lenny-kravitz-mn0000200074,20,11
M. Ward,https://www.allmusic.com/artist/m-ward-mn0000217641,16,1
Marmalade,https://www.allmusic.com/artist/marmalade-mn0000334054,2,0
Mott the Hoople,https://www.allmusic.com/artist/mott-the-hoople-mn0000596126,11,14
One Direction,https://www.allmusic.com/artist/one-direction-mn0002766592,18,15
Patti LaBelle,https://www.allmusic.com/artist/patti-labelle-mn0000017748,17,26
Quicksilver Messenger Service,https://www.allmusic.com/artist/quicksilver-messenger-service-mn0000317417,18,16
Seal,https://www.allmusic.com/artist/seal-mn0000576718,29,22
Sebadoh,https://www.allmusic.com/artist/sebadoh-mn0000840523,24,44
Sloan,https://www.allmusic.com/artist/sloan-mn0000029978,21,13
Small Faces,https://www.allmusic.com/artist/small-faces-mn0000423267,16,13
Spirit,https://www.allmusic.com/artist/spirit-mn0000746010,13,8
Split Enz,https://www.allmusic.com/artist/split-enz-mn0000747757,13,13
Spoon,https://www.allmusic.com/artist/spoon-mn0000131038,20,3
Status Quo,https://www.allmusic.com/artist/status-quo-mn0000745241,9,9
The Rockin' Berries,https://www.allmusic.com/artist/the-rockin-berries-mn0000486115,2,0
The Rubinoos,https://www.allmusic.com/artist/the-rubinoos-mn0000297955,5,3
The Sir Douglas Quintet,https://www.allmusic.com/artist/the-sir-douglas-quintet-mn0000018708,2,0
Third Eye Blind,https://www.allmusic.com/artist/third-eye-blind-mn0000926237,18,4
Vanilla Fudge,https://www.allmusic.com/artist/vanilla-fudge-mn0000311674,10,15
Aaron Lee Tasjan,https://www.allmusic.com/artist/aaron-lee-tasjan-mn0002930846,3,0
AJ Mitchell,https://www.allmusic.com/artist/aj-mitchell-mn0003779965,5,0
Andy Bell,https://www.allmusic.com/artist/andy-bell-mn0002443836,4,0
Apoptygma Berzerk,https://www.allmusic.com/artist/apoptygma-berzerk-mn0000496556,10,0
Big Time Rush,https://www.allmusic.com/artist/big-time-rush-mn0002534053,5,0
Blossom Toes,https://www.allmusic.com/artist/blossom-toes-mn0000056563,3,0
Blossoms,https://www.allmusic.com/artist/blossoms-mn0003457444,9,0
Burton Cummings,https://www.allmusic.com/artist/burton-cummings-mn0000942580,3,0
Claire Rosinkranz,https://www.allmusic.com/artist/claire-rosinkranz-mn0003970104,3,0
Claypool Lennon Delirium,https://www.allmusic.com/artist/claypool-lennon-delirium-mn0003475083,2,0
Color Bars,https://www.allmusic.com/artist/color-bars-mn0000322277,6,0
Dan Luke and the Raid,https://www.allmusic.com/artist/dan-luke-and-the-raid-mn0003858491,11,0
Danger Mouse,https://www.allmusic.com/artist/danger-mouse-mn0000674440,8,1
Devan Dubois,https://www.allmusic.com/artist/devan-dubois-mn0003295166,2,0
Dodgy,https://www.allmusic.com/artist/dodgy-mn0000172205,3,0
Ellie Pop,https://www.allmusic.com/artist/ellie-pop-mn0002322838,1,0
Fanny,https://www.allmusic.com/artist/fanny-mn0001467262,3,0
Fauna Flora,https://www.allmusic.com/artist/fauna-flora-mn0003251033,2,0
